,Address,Sale Date,Sale Price,salePrice_numeric,price_SF,Square Ft ,Year  Built ,lat,long
3125,300 WEST PEACHTREE ST # 20 E,4/29/22,"$225,000.00 ",225000,312.0665742,721,1962,33.76256721,-84.38788627
3126,711 COSMOPOLITAN DR TL8,7/5/22,"$248,100.00 ",248100,290.1754386,855,2006,33.8215151,-84.3625432
3127,2509 SHARONDALE DR NE,7/5/22,"$879,000.00 ",879000,358.629131,2451,1956,33.8228779,-84.3743745
3128,465 WATER SHADOW LN,7/5/22,"$1,130,000.00 ",1130000,356.466877,3170,1993,34.0137341,-84.2933375
3129,300 WEST PEACHTREE ST # 21 E,4/1/22,"$235,000.00 ",235000,325.9361997,721,1962,33.76256721,-84.38788627
3130,933 WOODBOURNE DR SW,7/5/22,"$448,000.00 ",448000,292.8104575,1530,1930,33.7103882,-84.4187848
3131,4020 JENKINS CT,7/5/22,"$750,000.00 ",750000,244.4589309,3068,1997,34.0836466,-84.3125991
3132,220 MARJEAN WAY,7/5/22,"$1,400,000.00 ",1400000,469.4835681,2982,2017,34.0731365,-84.2999582
3133,5911 PROVIDENCE RUN,7/5/22,"$355,000.00 ",355000,134.7248577,2635,2008,33.5717836,-84.5187744
3134,3324 PEACHTREE RD NE # 910,7/4/22,"$300,000.00 ",300000,392.6701571,764,2005,33.8458406,-84.3693963
3135,115 FRANKLIN PL,7/1/22,"$1,230,000.00 ",1230000,237.6811594,5175,2002,33.8867211,-84.3751098
3136,350 FOREST HILLS DR,7/1/22,"$700,000.00 ",700000,384.8268279,1819,1957,33.8939065,-84.3759516
3137,5584 BENTON WOODS DR,7/1/22,"$670,000.00 ",670000,455.1630435,1472,1969,33.9079396,-84.3759473
3138,6980 ROSWELL RD # N 5,7/1/22,"$350,000.00 ",350000,214.4607843,1632,1968,33.9452915,-84.3717425
3139,1130 PIEDMONT AVE # 403,1/4/22,"$465,000.00 ",465000,374.3961353,1242,1988,33.78570514,-84.37907561
3140,390 SEVENTEENTH ST NW LOT 5004,7/1/22,"$250,000.00 ",250000,300.4807692,832,2007,33.7903038,-84.3994771
3141,1199 HUFF RD NW UNIT 101,7/1/22,"$650,000.00 ",650000,327.2910373,1986,2008,33.789354,-84.4266084
3142,328 STREAMSIDE DR,7/1/22,"$250,000.00 ",250000,196.8503937,1270,1998,34.064072,-84.3299122
3143,815 LAKE FOREST PASS,7/1/22,"$569,000.00 ",569000,222.0054623,2563,1985,34.0195891,-84.2984474
3144,270 SOCIETY ST,7/1/22,"$1,000,000.00 ",1000000,265.8160553,3762,2002,34.0449814,-84.2779189
3145,260 MERRITT DR,7/1/22,"$760,000.00 ",760000,236.9816027,3207,1989,33.9841757,-84.2795813
3146,750 NILE DR,7/1/22,"$550,000.00 ",550000,210.9704641,2607,1977,33.9955931,-84.2712725
3147,1067 STONEWALL DR SE,7/1/22,"$275,000.00 ",275000,272.8174603,1008,1960,33.6919148,-84.3565669
3148,785 PONCE DE LEON PL NE,7/1/22,"$205,000.00 ",205000,364.7686833,562,1930,33.7760254,-84.3632131
3149,915 PARK AVE SE,7/1/22,"$650,000.00 ",650000,370.3703704,1755,1932,33.729563,-84.3707775
3150,300 WEST PEACHTREE ST # 21 F,7/8/22,"$240,000.00 ",240000,430.8797127,557,1962,33.76256721,-84.38788627
3151,4679 DODSON RD,7/1/22,"$215,000.00 ",215000,305.3977273,704,1957,33.5900137,-84.5412827
3152,6221 SHOALS LOOP,7/1/22,"$204,000.00 ",204000,137.2812921,1486,2007,33.5847161,-84.5216132
3153,5537 WAVERLY PARK,7/1/22,"$345,000.00 ",345000,126.8382353,2720,2017,33.6048514,-84.5238778
3154,26105 HARVEST RIDGE LN # 26,7/1/22,"$365,000.00 ",365000,270.3703704,1350,2000,34.0453305,-84.2273179
3155,5650 HILLGATE CROSSING,7/1/22,"$612,000.00 ",612000,234.4827586,2610,1990,34.0619821,-84.1984562
3156,11057 LORIN WAY,7/1/22,"$502,000.00 ",502000,269.8924731,1860,2006,34.0507338,-84.1846936
3157,5548 CASCADE RUN,7/1/22,"$315,000.00 ",315000,176.6685362,1783,2008,33.7266588,-84.5686873
3158,1169 UNIVERSITY DR NE,7/1/22,"$1,025,000.00 ",1025000,703.0178326,1458,1930,33.7905326,-84.3490797
3159,1005 BERGERON PL,7/1/22,"$565,000.00 ",565000,271.1132438,2084,2015,33.9594267,-84.3558691
3160,501 BISMARK RD NE,7/1/22,"$925,000.00 ",925000,414.0555058,2234,2018,33.811064,-84.364822
3161,78 ATLANTA AVE SE,7/1/22,"$475,000.00 ",475000,299.6845426,1585,1920,33.7306646,-84.3854363
3162,201 BOWEN CIR,7/1/22,"$650,000.00 ",650000,255.1020408,2548,2005,33.7176546,-84.3951247
3163,1750 DERRY AVE SW,7/1/22,"$624,000.00 ",624000,292.9577465,2130,1948,33.7432776,-84.4450116
3164,2110 CLAUDE ST NW,7/1/22,"$265,000.00 ",265000,268.2186235,988,1960,33.8122648,-84.4666094
3165,12215 LEEWARD WALK CIR,7/1/22,"$450,000.00 ",450000,197.71529,2276,1992,34.0761423,-84.2038136
3166,410 ROSE GARDEN LN,7/1/22,"$779,000.00 ",779000,325.6688963,2392,2014,34.0782631,-84.2974168
3167,945 CANONERO DR,7/1/22,"$1,406,000.00 ",1406000,335.6409644,4189,2014,34.1536138,-84.2902123
3168,501 IRONSTONE DR,7/1/22,"$440,000.00 ",440000,126.002291,3492,2012,33.6252316,-84.653205
3169,7012 GLEN VALLEY WAY,7/1/22,"$259,000.00 ",259000,122.3429381,2117,2001,33.5355466,-84.5870432
3170,4155 WELCOME ALL TER,7/1/22,"$170,000.00 ",170000,89.80454305,1893,1968,33.6294769,-84.5239187
3171,510 BARNESLEY LN,7/1/22,"$1,105,500.00 ",1105500,275.8233533,4008,2001,34.0558824,-84.2496435
3172,313 ALDERWOOD LN,7/1/22,"$550,000.00 ",550000,270.9359606,2030,2013,33.9373346,-84.3770395
3173,6700 ROSWELL RD NE 5 D,7/1/22,"$213,000.00 ",213000,175.1644737,1216,1967,33.9404911,-84.3764504
3174,305 DRUMMEN CT,7/1/22,"$950,000.00 ",950000,330.4347826,2875,1981,33.9443158,-84.3665214
3175,4100 CHASTAIN PARK CT,7/1/22,"$196,000.00 ",196000,284.057971,690,1987,33.8771131,-84.3830221
3176,250 PHARR RD NE # 405,7/1/22,"$365,000.00 ",365000,157.5993092,2316,2004,33.8379648,-84.3781073
3177,206 ELEVENTH ST NE # 303,7/1/22,"$480,000.00 ",480000,372.960373,1287,2001,33.7832978,-84.380573
3178,955 JUNIPER ST # 3212,7/1/22,"$377,000.00 ",377000,319.2209992,1181,1996,33.7805621,-84.3818848
3179,6470 LONG ISLAND DR,7/1/22,"$1,700,000.00 ",1700000,341.7772417,4974,2013,33.9318607,-84.3905745
3180,300 WEST PEACHTREE ST # 21 J,7/15/22,"$230,500.00 ",230500,319.2520776,722,1962,33.76256721,-84.38788627
3181,800 OVERHILL CT NW,7/1/22,"$1,475,000.00 ",1475000,482.6570681,3056,1970,33.9204572,-84.4150084
3182,45 BATTLE RIDGE DR NE,7/1/22,"$910,000.00 ",910000,208.9072544,4356,1987,33.8908034,-84.3629559
3183,8390 SENTINAE CHASE DR,7/1/22,"$1,420,000.00 ",1420000,243.3173406,5836,1994,33.9892822,-84.3043827
3184,604 MEAD ST SE,7/1/22,"$791,000.00 ",791000,382.1256039,2070,2008,33.7277706,-84.3675528
3185,375 HIGHLAND AVE # 710,7/1/22,"$445,000.00 ",445000,301.082544,1478,2000,34.2855281,-83.8350183
3186,36 FINCH TRL NE,7/1/22,"$218,000.00 ",218000,273.5257215,797,1985,33.7693177,-84.3785607
3187,1228 WESTMONT RD SW,7/1/22,"$579,920.00 ",579920,258.8928571,2240,2021,33.7216501,-84.4373492
3188,13505 PROVIDENCE LAKE DR,7/1/22,"$890,000.00 ",890000,213.7881336,4163,1992,34.1112172,-84.3691759
3189,215 SULLING WAY,7/1/22,"$1,300,000.00 ",1300000,302.1850302,4302,2003,34.1025806,-84.3091255
3190,16538 HOPEWELL RD,7/1/22,"$1,700,000.00 ",1700000,327.3637589,5193,2021,34.1826156,-84.2735761
3191,300 WEST PEACHTREE ST # 24 H,7/13/22,"$225,000.00 ",225000,375.6260434,599,1962,33.76256721,-84.38788627
3192,7113 BOULDER PASS,7/1/22,"$325,000.00 ",325000,181.8690543,1787,2002,33.5625814,-84.5238163
3193,9540 STONEY RIDGE LN,7/1/22,"$1,020,000.00 ",1020000,234.1060363,4357,2000,34.0132371,-84.2583752
3194,10550 MORTON RIDGE DR,7/1/22,"$675,000.00 ",675000,245.2761628,2752,1990,34.0379695,-84.2117612
3195,9330 RIVERCLUB PKWY,7/1/22,"$850,000.00 ",850000,179.3627348,4739,1985,34.0049994,-84.1845168
3196,305 ABBOTTS MILL DR # 21,7/1/22,"$332,000.00 ",332000,221.3333333,1500,1999,34.040715,-84.177589
3197,1060 VINTAGE CLUB DR,7/1/22,"$1,295,000.00 ",1295000,301.373051,4297,1990,34.0268778,-84.176133
3198,525 DEVONHALL CT,7/1/22,"$665,000.00 ",665000,212.8681178,3124,1991,34.0528448,-84.1447056
3199,4000 HEATHERWOOD WAY,7/1/22,"$3,750,000.00 ",3750000,432.575845,8669,2005,34.0504655,-84.3941602
3200,13075 CRABAPPLE LAKE DR,7/1/22,"$560,000.00 ",560000,228.5714286,2450,1994,34.0720537,-84.3563061
3201,300 WEST PEACHTREE ST # 4 F,3/24/22,"$235,000.00 ",235000,421.9030521,557,1962,33.76256721,-84.38788627
3202,44 GLENALD WAY NW,7/1/22,"$290,000.00 ",290000,209.8408104,1382,1968,33.8180655,-84.4267681
3203,200 RIVER VISTA DR UNIT 313,7/1/22,"$393,350.00 ",393350,335.6228669,1172,2010,33.9011253,-84.4399001
3204,3760 CLOUDLAND DR NW,7/1/22,"$1,500,000.00 ",1500000,520.4718945,2882,1961,33.8570003,-84.4380055
3205,2313 SANDCOVE CT,7/1/22,"$320,000.00 ",320000,133.7233598,2393,2007,33.6998553,-84.5418355
3206,3012 WINGATE WAY,7/1/22,"$240,000.00 ",240000,210.1576182,1142,1985,33.9675725,-84.3534927
3207,4249 OLDE MILL LN,7/1/22,"$1,706,777.00 ",1706777,364.4623105,4683,2000,33.8702752,-84.3751303
3208,7059 GALLOWAY POINT,7/1/22,"$170,000.00 ",170000,116.4383562,1460,2005,33.5644007,-84.476151
3209,620 GLEN IRIS DR NE 220,7/1/22,"$300,000.00 ",300000,349.2433062,859,2005,33.7714125,-84.3678745
3210,829 MARTIN ST SE,7/1/22,"$540,000.00 ",540000,195.8650707,2757,1920,33.7320395,-84.3845687
3211,1124 MAYLAND CIR SW,7/1/22,"$360,000.00 ",360000,326.0869565,1104,1930,33.7243149,-84.4057144
3212,3701 SPINNAKER CIR,7/1/22,"$1,150,000.00 ",1150000,364.3852978,3156,1985,34.0776249,-84.2366122
3213,6185 MOUNTAINWELL DR,7/1/22,"$900,000.00 ",900000,189.0756303,4760,2000,34.0766825,-84.4156662
3214,12737 RUTHS FARM WAY,7/1/22,"$1,070,000.00 ",1070000,299.3844432,3574,2018,34.0954939,-84.3302518
3215,12675 ARCHMONT TRCE,7/1/22,"$472,000.00 ",472000,177.1771772,2664,2014,34.0901321,-84.2862907
3216,15851 WINTERFIELD WAY,7/1/22,"$1,605,000.00 ",1605000,371.2699514,4323,2006,34.168999,-84.2787587
3217,535 LAUREL OAKS LN,7/1/22,"$1,500,000.00 ",1500000,341.6078342,4391,1998,34.120392,-84.2838792
3218,4076 WHITEHALL WAY,7/1/22,"$305,000.00 ",305000,233.5375191,1306,1985,34.0877921,-84.2780932
3219,5503 RADFORD LOOP,7/1/22,"$340,000.00 ",340000,185.7923497,1830,2019,33.5480836,-84.568506
3220,360 CHIMNEY CT,7/1/22,"$285,000.00 ",285000,202.991453,1404,1983,33.5828822,-84.5804556
3221,303 WIMAN PARK LN #,4/25/22,"$818,200.00 ",818200,212.3540099,3853,2021,34.0527645,-84.1550344
3222,1022 BALDWIN DR,4/14/22,"$922,191.00 ",922191,322.4444056,2860,2021,34.0932038,-84.3351997
3223,7240 GRANDVIEW OVERLOOK,4/28/22,"$1,090,000.00 ",1090000,283.1168831,3850,2018,34.0490895,-84.1611958
3224,3486 PACES PL NW,4/2/22,"$572,500.00 ",572500,389.4557823,1470,1962,33.8516692,-84.4320779
3225,1509 WESTVIEW DR SW,4/29/22,"$525,000.00 ",525000,424.7572816,1236,1922,33.7477056,-84.437021
3226,1105 LOOKOUT AVE NW,4/19/22,"$369,000.00 ",369000,221.4885954,1666,2021,33.7849846,-84.4649489
3227,1310 WOODCLIFF DR,4/8/22,"$191,000.00 ",191000,221.8350755,861,1982,33.977755,-84.3555281
3228,3235 ROSWELL RD NE 612,4/20/22,"$310,000.00 ",310000,299.5169082,1035,1999,33.8438463,-84.3786119
3229,2135 BROOKRIDGE TER,4/15/22,"$475,000.00 ",475000,376.0886778,1263,1995,34.0857801,-84.2838596
3230,4857 WEST PARK CIR,4/6/22,"$220,000.00 ",220000,161.2903226,1364,2005,33.6329025,-84.5148236
3231,6237 PARIS COVE,4/25/22,"$385,000.00 ",385000,143.9790576,2674,2006,33.587756,-84.6288223
3232,7765 OLD THYME RD,4/19/22,"$406,850.00 ",406850,130.2336748,3124,2015,33.5428817,-84.5394106
3233,5301 ROSEWOOD PL,4/6/22,"$525,000.00 ",525000,126.2626263,4158,2014,33.6078041,-84.5951028
3234,7130 JUMPERS TRL,4/8/22,"$390,000.00 ",390000,136.2207475,2863,2005,33.6244421,-84.6208696
3235,5481 THE VYNE AVE,4/21/22,"$480,000.00 ",480000,160.1601602,2997,2005,33.6518183,-84.570184
3236,864 DILL AVE SW,4/28/22,"$368,000.00 ",368000,188.5245902,1952,1929,33.7180749,-84.416372
3237,53 PACES WEST DR NW,4/25/22,"$700,000.00 ",700000,328.6384977,2130,1982,33.8521596,-84.4270523
3238,8215 CHAMPION TRL,4/20/22,"$320,000.00 ",320000,139.9212943,2287,2007,33.5321234,-84.5872589
3239,365 CITADELLA CT,4/19/22,"$2,025,000.00 ",2025000,270.2522354,7493,2004,34.000835,-84.2545728
3240,694 HOLDERNESS ST SW,4/28/22,"$531,000.00 ",531000,136.5740741,3888,1920,33.7362033,-84.4274864
3241,7959 LARKSVIEW DR,4/4/22,"$391,725.00 ",391725,179.7728316,2179,2005,33.5843572,-84.6444197
3242,170 BOULEVARD SE LOT 425E,4/13/22,"$650,000.00 ",650000,495.4268293,1312,2007,33.7497092,-84.3688592
3243,1976 BROAD AVE,4/5/22,"$325,000.00 ",325000,415.0702427,783,1948,33.6880186,-84.452832
3244,3113 LAKE POINTE CIR,4/7/22,"$220,000.00 ",220000,174.1884402,1263,1984,34.005813,-84.391962
3245,300 WEST PEACHTREE ST # 5 I,8/2/22,"$200,000.00 ",200000,295.4209749,677,1962,33.76256721,-84.38788627
3246,788 WEST MARIETTA ST NW UNIT 709,4/5/22,"$651,400.00 ",651400,494.9848024,1316,2020,33.7798962,-84.4134852
3247,1175 LYNDHURST WAY,4/13/22,"$550,000.00 ",550000,241.6520211,2276,1995,34.0521908,-84.3773066
3248,3484 CARRIAGE CHASE RD,4/4/22,"$240,000.00 ",240000,151.3240858,1586,2003,33.5975196,-84.505089
3249,300 WEST PEACHTREE ST # 8 E,4/11/22,"$221,000.00 ",221000,306.518724,721,1962,33.76256721,-84.38788627
3250,323 LAUREN DR,4/25/22,"$310,000.00 ",310000,176.236498,1759,2016,33.5375651,-84.5703477
3251,1510 LIBERTY LN,4/28/22,"$610,000.00 ",610000,234.9768875,2596,1950,34.0287075,-84.3541844
3252,70 HAMMOCK PL SE,4/13/22,"$427,000.00 ",427000,274.4215938,1556,1996,33.7415125,-84.3852105
3253,536 GRANITE RIDGE PL,4/6/22,"$230,000.00 ",230000,183.7060703,1252,1984,33.9765478,-84.3499975
3254,1 BISCAYNE DR NW 701,4/8/22,"$215,000.00 ",215000,238.8888889,900,1997,33.815585,-84.3927198
3255,2017 PALMETTO DUNES CT,4/15/22,"$1,280,000.00 ",1280000,252.4156971,5071,1992,34.0289686,-84.1758652
3256,3481 LAKESIDE DR NE,4/12/22,"$375,000.00 ",375000,304.8780488,1230,1990,33.849139,-84.3572035
3257,1074 PEACHTREE WALK,4/18/22,"$341,500.00 ",341500,305.1831993,1119,1996,33.783733,-84.3866555
3258,465 SAWGRASS VIEW,4/21/22,"$419,800.00 ",419800,134.5512821,3120,2016,33.5571203,-84.6086829
3259,300 WEST PEACHTREE ST # A 2,8/29/22,"$186,000.00 ",186000,295.7074722,629,1962,33.76256721,-84.38788627
3260,47 MOURY AVE SE,4/25/22,"$345,000.00 ",345000,236.7879204,1457,2005,33.7129722,-84.3851459
3261,300 WEST PEACHTREE ST # H 12,8/19/22,"$222,500.00 ",222500,371.4524207,599,1962,33.76256721,-84.38788627
3262,1511 DARTMOUTH RD,4/1/22,"$978,000.00 ",978000,240.1178493,4073,2004,34.1704181,-84.3144694
3263,1220 CHELSEY LN,4/25/22,"$790,000.00 ",790000,247.3387602,3194,1994,34.0892222,-84.3253819
3264,310 GREEN PARK,4/21/22,"$1,651,000.00 ",1651000,332.460733,4966,1985,33.9061556,-84.4012202
3265,6015 EAST ANDECHS SUMMIT,4/19/22,"$812,500.00 ",812500,203.6340852,3990,1996,34.0075562,-84.1812417
3266,270 SEVENTEENTH ST NW UNIT 4207,4/7/22,"$810,000.00 ",810000,449.2512479,1803,2009,33.7908654,-84.3975929
3267,3005 BRIERFIELD LAKE,8/5/22,"$906,000.00 ",906000,357.8199052,2532,1996,34.0851042,-84.31648277
3268,10755 BRUNSON DR,4/19/22,"$489,500.00 ",489500,213.9423077,2288,2005,34.0461101,-84.1823498
3269,3338 PEACHTREE RD NE # 1701,4/20/22,"$432,500.00 ",432500,302.6592022,1429,2004,33.8487893,-84.3710648
3270,6618 CHERRY TREE LN,4/26/22,"$585,000.00 ",585000,313.1691649,1868,1960,33.9360296,-84.3757463
3271,450 BLUFFS CIR,4/29/22,"$301,000.00 ",301000,159.343568,1889,2004,33.5618531,-84.526581
3272,1432 ROME DR NW,4/7/22,"$389,000.00 ",389000,217.0758929,1792,2007,33.7628799,-84.434811
3273,807 RIVER MILL CIR,4/7/22,"$200,000.00 ",200000,153.1393568,1306,1979,34.007587,-84.355293
3274,604 ROSWELL LANDING DR,4/15/22,"$325,000.00 ",325000,232.4749642,1398,1990,34.0343341,-84.3061194
3275,71 ADORE CT,4/22/22,"$462,650.00 ",462650,310.9206989,1488,2021,33.734769,-84.385901
3276,438 FAIRLOCK LN NW,4/29/22,"$160,000.00 ",160000,182.8571429,875,1950,33.7672014,-84.5081064
3277,605 MARTINGALE DR,4/22/22,"$1,425,000.00 ",1425000,344.9527959,4131,2017,34.1801853,-84.3290189
3278,2868 SEQUOYAH DR NW,4/28/22,"$749,000.00 ",749000,341.5412677,2193,1957,33.8334111,-84.4373902
3279,1130 PIEDMONT AVE # 408,8/12/22,"$400,000.00 ",400000,394.08867,1015,1988,33.78570514,-84.37907561
3280,250 PHARR RD NE 1513,4/29/22,"$430,000.00 ",430000,348.7429035,1233,2004,33.8371871,-84.378968
3281,130 BARKSDALE DR NE,4/29/22,"$1,300,200.00 ",1300200,528.3218204,2461,1920,33.7936899,-84.3773825
3282,943 PEACHTREE ST NE # 1306,4/29/22,"$495,600.00 ",495600,393.3333333,1260,2002,33.7804915,-84.3835658
3283,1820 PEACHTREE ST NW UNIT 1802,4/29/22,"$859,000.00 ",859000,454.9788136,1888,2010,33.805175,-84.3943191
3284,235 LANDFALL RD,4/29/22,"$860,000.00 ",860000,257.1001495,3345,1979,33.9421807,-84.3990305
3285,390 SEVENTEENTH ST NW 4017,4/29/22,"$240,000.00 ",240000,311.6883117,770,2006,33.7902899,-84.3995523
3286,1101 COLLIER RD J 3,4/29/22,"$242,000.00 ",242000,230.4761905,1050,1970,33.8103045,-84.4223831
3287,1701 DEFOORS LANDING AVE NW,4/29/22,"$340,000.00 ",340000,261.5384615,1300,1986,33.8033033,-84.4201779
3288,3047 LENOX RD NE # 1207,7/5/22,"$342,000.00 ",342000,203.3293698,1682,1999,33.8379831,-84.35760913
3289,9525 RIVER LAKE DR,4/29/22,"$675,000.00 ",675000,303.0983386,2227,1978,34.012052,-84.3434005
3290,2436 TENOR LN,4/29/22,"$530,000.00 ",530000,286.7965368,1848,2014,34.0531141,-84.2990838
3291,1820 JARDIN CT LOT 8,4/29/22,"$500,000.00 ",500000,262.605042,1904,2013,34.0369587,-84.2966628
3292,398 BILL KENNEDY WAY,4/29/22,"$907,500.00 ",907500,381.9444444,2376,2013,33.7419871,-84.3579881
3293,821 RALPH MCGILL BLVD NE # 2405,4/29/22,"$275,000.00 ",275000,423.0769231,650,2001,33.7675305,-84.3591993
3294,6292 WELLINGTON DR,4/29/22,"$295,000.00 ",295000,250.2120441,1179,1973,33.5941952,-84.5630214
3295,5481 ROSEWOOD PL,4/29/22,"$428,803.00 ",428803,114.0130284,3761,2021,33.602009,-84.6006249
3296,5441 ROSEWOOD PL,4/29/22,"$436,027.00 ",436027,117.9088697,3698,2021,33.60147,-84.597615
3297,5191 UPPER ELM ST,4/29/22,"$441,000.00 ",441000,166.2895928,2652,2021,33.61787,-84.585364
3298,130 WESTBURY LN,4/29/22,"$625,000.00 ",625000,217.3157163,2876,1997,34.0588121,-84.2040607
3299,10430 GROOMSBRIDGE RD,4/29/22,"$950,000.00 ",950000,191.6868442,4956,1992,34.0313473,-84.1931672
3300,5125 HAMPTON BLUFF CT,4/29/22,"$625,000.00 ",625000,211.1486486,2960,1999,34.0090023,-84.388187
3301,732 THORNINGTON DR # 57/23,4/29/22,"$560,000.00 ",560000,212.4430956,2636,1999,34.0426175,-84.3577293
3302,3611 CALMER CIR,4/29/22,"$361,000.00 ",361000,181.4982403,1989,1965,33.6568256,-84.4765509
3303,1495 LOCH LOMOND TRL SW,4/29/22,"$372,000.00 ",372000,155.8441558,2387,1958,33.714209,-84.5434733
3304,3756 THE GREAT DR,4/29/22,"$479,990.00 ",479990,171.3637986,2801,2021,33.650463,-84.567753
3305,5677 WYNCREEK CIR,4/29/22,"$454,887.00 ",454887,96.29276037,4724,2021,33.688967,-84.570055
3306,4313 PINE HEIGHTS DR,4/29/22,"$270,000.00 ",270000,179.5212766,1504,1986,33.829183,-84.357407
3307,906 LENOX WAY NE,4/29/22,"$271,000.00 ",271000,250.0,1084,1980,33.833619,-84.355155
3308,1047 STOVALL BLV NE,4/29/22,"$2,175,000.00 ",2175000,514.7928994,4225,1939,33.8594988,-84.3534252
3309,80 MOUNT VERNON CIR,4/29/22,"$430,000.00 ",430000,290.5405405,1480,1985,33.9364367,-84.350634
3310,605 ABINGDON WAY,4/29/22,"$268,000.00 ",268000,201.5037594,1330,1983,33.9402242,-84.3561976
3311,860 AGAN PL NE,4/29/22,"$1,250,000.00 ",1250000,303.6929057,4116,1988,33.8702017,-84.3592367
3312,700 MOUNTAIN DR,4/29/22,"$1,550,000.00 ",1550000,338.5757973,4578,2001,33.8667594,-84.3642681
3313,855 PEACHTREE ST NE UNIT 1911,4/29/22,"$350,000.00 ",350000,417.6610979,838,2008,33.7777998,-84.383904
3314,20 MARIETTA ST NW # #4C,4/29/22,"$224,000.00 ",224000,151.1470985,1482,1995,33.7546387,-84.3906296
3315,3047 LENOX RD NE # 2204,3/10/22,"$359,900.00 ",359900,237.4010554,1516,1999,33.8379831,-84.35760913
3316,1091 METROPOLITAN PKWY,4/29/22,"$393,500.00 ",393500,299.9237805,1312,1920,33.7251068,-84.4081433
3317,788 TIFT AVE SW,4/29/22,"$502,500.00 ",502500,394.7368421,1273,1974,33.7335322,-84.4103109
3318,959 DECKNER AVE SW,4/29/22,"$427,000.00 ",427000,263.5802469,1620,1925,33.7141463,-84.4195849
3319,1664 THOMPSON AVE,4/29/22,"$365,000.00 ",365000,203.2293987,1796,1935,33.678058,-84.4432214
3320,2323 VENETIAN DR SW,4/29/22,"$264,000.00 ",264000,183.8440111,1436,1930,33.718147,-84.4650309
3321,2003 WESTSIDE BLVD,4/29/22,"$840,000.00 ",840000,260.142459,3229,2018,33.8139829,-84.4520734
3322,305 ASHIGAN ST,1/25/22,"$189,900.00 ",189900,115.2305825,1648,2021,33.56115437,-84.53381704
3323,2280 BLACKHEATH TRC,4/29/22,"$2,300,000.00 ",2300000,361.351139,6365,1999,34.0817937,-84.2147464
3324,611 EASY GOER LN,4/29/22,"$2,300,000.00 ",2300000,380.3538945,6047,2016,34.1250369,-84.3294504
3325,205 BAY COLT RD,4/29/22,"$1,200,000.00 ",1200000,355.450237,3376,1992,34.1089302,-84.319356
3326,14915 THOMPSON RD,4/29/22,"$493,500.00 ",493500,281.3568985,1754,1975,34.1437722,-84.298909
3327,1030 BROOKHAVEN DR,4/29/22,"$430,880.00 ",430880,103.6267436,4158,2021,33.5519559,-84.607696
3328,5488 ROSEWOOD PL,4/29/22,"$421,324.00 ",421324,109.6056191,3844,2021,33.601538,-84.60141
3329,5504 ROSEWOOD PL,4/29/22,"$419,980.00 ",419980,123.8513713,3391,2021,33.601793,-84.602356
3330,5381 ROSEWOOD PL,4/29/22,"$436,371.00 ",436371,105.5310762,4135,2022,33.604509,-84.598622
3331,872 BENTLEY DR,4/29/22,"$331,990.00 ",331990,170.426078,1948,2021,33.6199511,-84.6133499
3332,240 WEBLEY LN,4/29/22,"$750,000.00 ",750000,231.8392581,3235,1993,34.0369956,-84.2525325
3333,2135 NORTHWICK PASS WAY,4/29/22,"$820,000.00 ",820000,233.6848105,3509,1995,34.008256,-84.2497137
3334,3525 GOLDENROD DR,4/29/22,"$706,000.00 ",706000,216.365308,3263,1994,34.0699253,-84.2348155
3335,590 WINDSWEPT WAY,4/29/22,"$600,000.00 ",600000,256.1912895,2342,1993,34.0444942,-84.2020428
3336,3040 LAKESIDE CT,4/29/22,"$650,000.00 ",650000,177.1117166,3670,1999,34.0692299,-84.2006425
3337,250 FLOWING SPRING TRL,4/29/22,"$801,000.00 ",801000,179.7576302,4456,1987,34.0701523,-84.4074587
3338,1005 BROOKSGLEN DR,4/29/22,"$735,000.00 ",735000,264.6741088,2777,1987,34.0682489,-84.3908995
3339,135 SKYLAND DR,4/29/22,"$725,000.00 ",725000,246.5986395,2940,1986,34.0062832,-84.372338
3340,3324 PEACHTREE RD NE # 903,4/29/22,"$265,000.00 ",265000,404.5801527,655,2005,33.8458406,-84.3693963
3341,3325 PIEDMONT RD UNIT 1802,4/29/22,"$765,000.00 ",765000,395.9627329,1932,2008,33.8451658,-84.3715151
3342,485 FOREST HILLS DR NE,4/29/22,"$875,000.00 ",875000,503.7420841,1737,1959,33.8932945,-84.371106
3343,6851 ROSWELL RD A 5,4/29/22,"$270,000.00 ",270000,215.4828412,1253,1964,33.9416795,-84.3726524
3344,288 HEDDEN ST,4/29/22,"$1,100,000.00 ",1100000,426.5219077,2579,2009,33.8810326,-84.3779888
3345,3655 HABERSHAM RD NE # #346,4/29/22,"$270,785.00 ",270785,276.0295617,981,1989,33.8537724,-84.3802409
3346,3530 PIEDMONT RD NE I 4,4/29/22,"$349,900.00 ",349900,229.1421087,1527,1976,33.8493329,-84.3792251
3347,1421 PEACHTREE ST NE 309,4/29/22,"$296,000.00 ",296000,300.8130081,984,1960,33.7936652,-84.386506
3348,943 PEACHTREE ST NE 1110,4/29/22,"$499,000.00 ",499000,477.0554493,1046,2002,33.780409,-84.3834589
3349,290 ARGONNE DR NW,4/29/22,"$2,050,000.00 ",2050000,586.049171,3498,1940,33.8343361,-84.3967872
3350,221 SEMEL CIR LOT 259,4/29/22,"$365,111.00 ",365111,294.6820016,1239,2007,33.8021751,-84.4002548
